标题,作者,图书简介,链接
谁藏在那儿,（日）五味太郎，王煜婷（译）,蓝色的大海里有好多漂亮的鱼儿，仔细观察之后，孩子们会发现有一个圆溜溜的眼睛在看着自己：“谁藏在那儿？”说出无限个可能之后的孩子们，翻开下一页。他们会为自己猜对答案而狂喜；即使没猜对，也会因多知道一种可能而开拓思维。,https://www.xiaohuasheng.cn/book/823359b834dbb68c
我的幼幼双语早教学习机,上海趣威文化发展有限公司 编,《趣味有声系列：我的幼幼双语早教学习机》是能教小朋友认知的有声学习机，可爱动物&昆虫&交通工具&食物收录多样丰富内容。,https://www.xiaohuasheng.cn/book/6beb1f0838b09de8
睡觉吧,（瑞典） 阿妮卡·托雷 著；（瑞典） 玛利亚·尼尔松·托雷 绘；赵清 译,《0-3岁幼儿生活情景游戏绘本·和我一起玩》（共6册，引导0-3岁的孩子发现生活中的小游戏，和爸爸妈妈一起体验生活，“玩”出对生活的热爱）（心喜阅童书出品）这是一套通过“玩”让孩子体验生活，掌握基本生活技能的绘本。全书共6册，图书从0-3岁孩子视角和心理特点出发，讲述了11个孩子如何把生活中起床、吃饭、睡觉、荡秋千、帮妈妈做事和回家等日常事物变成趣味游戏的故事，展现了孩子无穷无尽创新能力，让孩子在“玩”的过程中爱上生活，在快乐中掌握生活技能，迈出成长**步。,https://www.xiaohuasheng.cn/book/3ccb107ae05a8b4c
阿莱不睡觉,（爱尔兰） 亚斯明·伊斯梅尔 绘；陶莉 译,阿莱是一只淘气，爱玩，让人筋疲力尽的狗。每天八点钟一响起“阿莱，该睡觉啦！”的声音时，它就上演着各种“睡觉拖延术”。它会躲在花坛里，或者高高的树上，甚至跑到泥潭中把自己弄得脏兮兮，它甚至宁愿洗澡也不愿意睡觉。于是又跑到喷壶里，水池中，钻到在毛毯下，在书架上穿来穿去，一刻都停不下来，阿莱真的，真的不想睡觉！最后玩到有睡意时，才找到自己的床开始美美的睡觉时间。在令人捧腹的文字与生动的图画中，呈现了父母哄孩子睡觉的逗趣情节，适合大声朗读，在互动中教导孩子养成良好的睡觉习惯。,https://www.xiaohuasheng.cn/book/b7138ce0fdccb728
我爱爸爸,（英） 贾尔斯·安卓依 著；（英） 艾玛·杜德 绘；唐米 译,"我爱我的爸爸，我的爸爸最最好。我爱我的爸爸，爸爸是我的大玩具。。。是呀，爸爸永远是只让宝贝开心的大伙伴。他不但好玩，还无所不能。
他整天想尽各种方式逗宝贝开心：扮鬼脸、骑大马、坐在他的肩上；也不知不觉教会宝贝很多东西；偶尔，还喜欢在妈妈不在家的时候，和宝贝一起做些放肆的事情，比如边吃零食边看电视。和爸爸在一起，除了欢笑还是欢笑。那种爸爸和孩子之间精彩又开心的亲情关系让人看后感同身受。想起了我们最爱的爸爸！",https://www.xiaohuasheng.cn/book/dd95baa3ab0652ca
这是我爸爸和我妈妈,（日） 宫西达也 著；朱自强 译,动物小的时候跟他们的爸爸和妈妈长得可不一样。毛毛虫的爸爸和妈妈是翩翩飞舞的蝴蝶，蝌蚪的爸爸和妈妈是呱呱叫的青蛙，水虿的爸爸和妈妈是飞来飞去的蜻蜓。你能猜得出孑孓的爸爸和妈妈是谁吗？《宫西达也图画书系列：这是我爸爸和我妈妈》用幽默的故事带小读者一起去发现身边小动物的不可思议。让小读者在阅读故事的同时产生观察身边事物的兴趣，也让小读者感受到生命的神奇和伟大。,https://www.xiaohuasheng.cn/book/949231d9d66c1a84
0-3岁小宝贝成长图画书·小手翻翻书: 藏着什么呢?,板桥敦子 著；（日） 永吉佳代 绘；于泽威子 译,游戏是最好的陪伴。在0-3岁宝宝建立安全感的重要时期，选择适合他们的图画书，与孩子进行亲子共读，对于增进亲子感情、激发宝宝的阅读兴趣具有重要意义。  《0-3岁小宝贝成长图画书·小手翻翻书》从锻炼小手精细动作出发，精选日本优秀婴儿图画书，围绕吃饭、洗澡、起床、情绪、蔬果用品、交通工具这六个小宝宝熟悉的话题，让孩子从认知身边的事物开始，逐步建立概念，培养探索的乐趣。  情节简单、篇幅较短、结构重复、富有节奏感的语言充分考虑了孩子阅读的耐心；而轮廓清晰的画面，光看图就能懂，可以让孩子体会“自己读”的成就感。  图书内含巧妙的翻页、模切设计，通过阅读与对比观察，孩子可以一个个地叫小动物起床，练习说“早上好”；可以与篮子里的物品玩“躲猫猫”游戏，形成分类意识；可以与饭碗、盘子、杯子对话，并由此爱上吃饭；可以看敞篷小汽车如何机智“变身”，成为挖土机、直升机、帆船甚至潜艇……不同分册又促进了孩子在语言表达、自然观察、人际交往等多方面智能的发展。  文后附有随书导读，结合故事内容提供养育及伴读建议，帮助爸爸妈妈深入孩子的世界，体味和他们相同的趣味。 ,https://www.xiaohuasheng.cn/book/2945bd4f53a23f18
大麦和小可-这个生日不简单,（英） 艾玛·契切斯特·克拉克 著；徐超 译,这个生日不简单-大麦和小可，ISBN：9787115235381，作者：(英) 克拉克. 著,https://www.xiaohuasheng.cn/book/6a912122d198c9d3
我说了吧,（日）五味太郎，王煜婷（译）,前面有个大坑，“要掉下去哟！”可是，还是没注意，掉了下去。“我说了吧！”每次孩子们看到这本书，口里都会念念有词：“我说了吧！”接着就是哈哈大笑。,https://www.xiaohuasheng.cn/book/8efc31daca06f4aa
小猫鱼系列,渡边有一 著；余立涛 等 译,《小猫鱼系列》内容简介：有一天，贪吃的小猫遇到了身材巨大的小鱼，啊呜一口，小鱼把小猫吞进肚里去了，从此，小猫和小鱼变成小猫鱼，永远是好朋友，永远在一起，呼呼、喵喵游大海，在天上尿尿、遇见海中妖怪、差点成了大婶的晚餐……发生了那么多有趣的事情！这是一套让小朋友乐不可支的图画书，别出心裁的立体工艺让你大呼过瘾。,https://www.xiaohuasheng.cn/book/ecccf98f516d51fe
