标题,作者,图书简介,链接
Here Comes Mother Goose,Iona Opie,无简介,https://www.xiaohuasheng.cn/book/9c85bfa734d81590
My Dad!,Charles Fuge,"""Fuge's bright, stylized illustrations are expressive and appealing...This warm, fuzzy father-son book is a fine addition.""--""School Library Journal "" The popular picture book by celebrated illustrator Charles Fuge (""I Know a Rhino,"" ""It's a Monster Party,"" "" Sometimes I Like to Curl Up in a Ball)"" is now available in board-just in time for Father's Day. A cuddly cub claims to have ""the roughest, toughest dad in the whole jungle."" But his awesome, fearsome description of Daddy--""teeth sharper than an alligator, more claws than an eagle""--scares away all his friends, one by one. Suddenly, the little bear is all alone in the forest, and very frightened. Guess who saves the day? The final illustration of the smiling cub wrapped in his Daddy's arms will warm every heart.",https://www.xiaohuasheng.cn/book/5fc5126ecc677dd6
Maisy's Trick-Or-Treat (A Maisy Sticker Book),Lucy Cousins,"Can you find a sheriff's hat for Maisy's costume? Is there any candy to give these trick-or-treaters? With dozens of stickers to choose from, Maisy's Halloween book is frightfully fun. 

Maisy and her friends love everything to do with Halloween — painting faces on pumpkins, dressing up in costumes, bobbing for apples, and especially going out to trick-or-treat. But they can't do any of these things unless their little fans join the festivities by completing each scene with colorful stickers.",https://www.xiaohuasheng.cn/book/fbedc89425038a4
咔嚓咔嚓齿轮书,【澳】凯特?巴克奈尔 著绘,转转紫色小齿轮！紫色齿轮转，黄色齿轮跟着转，为什么绿色齿轮也在转？ 随着页面翻动，齿轮转动，一层层探索，一步步揭秘，引导孩子的好奇心和探究欲，伸出小手，亲手去解开问题的答案。 一边转动齿轮，一边认知色彩，一边描述齿轮的转动，动手、动眼、动脑、动口，多元益智，一举多得！,https://www.xiaohuasheng.cn/book/36689fa1c9776367
快乐宝贝学单词,（美） 罗杰·普利迪 著；张芳 译,这是真正属于宝宝的第一本认知书，可以增加词汇量，学分类，当玩具。柔软的触摸感，清晰真实的图片，经久耐用的材质，安全的圆角设计，让宝宝们爱不释手。  采用大量真实摄影图片引导宝宝认知，有各种生活中常见的物品，也有各种动物园的动物们  采用真实摄影图片，背景色鲜明，对比度强  装帧精美 色彩活泼圆角设计，避免划伤纸板书设计，撕不烂，咬不坏，质量可靠全球第一大印刷厂雅图仕印刷    ,https://www.xiaohuasheng.cn/book/e9b3bd4aba3abe55
Moo Peek-a-Boo,无作者,无简介,https://www.xiaohuasheng.cn/book/2199adb828d418b0
小波纹的童话,张秋生 著,"《""五色石""张秋生精品童话:小波纹的童话》主要收录了爱写诗的小螃蟹、狐狸和一只漂亮蘑菇、洗澡时爱唱歌的青蛙、像音乐和像锤子的敲门声、两颗燃烧的小星星、馅儿饼小镇、挂满星星的小村庄、称赞、青蛙奶奶的快乐围巾、小刺猬的那根豇豆、订购翅膀的龙等内容。",https://www.xiaohuasheng.cn/book/b74cacd223778d49
One Mole Digging a Hole,Julia Donaldson 著；Nick Sharratt 绘,"All the animals are busy lending a hand in the garden in this lively numbers book    The parrots are pulling up carrots, the bears are picking pears and a swarm of bees are pruning the trees with their miniature shears. Julia Donaldson’s whimsical rhymes and Nick Sharratt’s hilarious illustrations make this early introduction to animals, the outdoors, and gardening a delight to share out loud. With plenty to giggle at on every page, countingor gardeninghas never been so much fun!",https://www.xiaohuasheng.cn/book/990e47e922577a81
Comparing is fun: Long and Short,Unknown,无简介,https://www.xiaohuasheng.cn/book/daec9be4d0d3d3db
Maisy's Christmas Eve,Lucy Cousins,无简介,https://www.xiaohuasheng.cn/book/a2e12289728730a
