name,score,price,lat,lon,star,rooms
峨眉山寅瑞酒店,暂无信息,159,29.58735,103.297255,2,30
峨眉山仙鹤楼酒店,暂无信息,104,29.573271605863,103.45811445312,2,17
峨眉山家之旅酒店,4.7,115,29.572283,103.455181,暂无信息,29
峨眉山峨眉·初见公寓,暂无信息,786,29.581623,103.478564,暂无信息,1
峨眉山仙山旅社,暂无信息,36,29.596689360626996,103.52809660263,暂无信息,10
峨眉山双泉休闲庄,暂无信息,135,29.607446000000003,103.34251,暂无信息,20
峨眉山云海金龙酒店,4.9,1156,29.529378,103.342846,3,30
峨眉山悠途之家主题酒店,4.8,91,29.57263,103.458347,3,25
峨眉山花园城度假酒店,4.7,314,29.579462653555,103.48300584245001,4,暂无信息
维也纳智好酒店(峨眉站水晶广场店),4.9,249,29.601874830207,103.52575716008002,4,150
峨眉山养心寨酒店,4.6,456,29.590979,103.296686,2,31
峨眉山斯维登度假公寓(峨眉青庐),4.7,245,29.576064567032,103.46649345366,4,188
峨眉山神山圣水休闲庄,暂无信息,113,29.569315000000003,103.41571,2,28
峨眉山龙州饭店,暂无信息,130,29.598267414871998,103.38510574517001,2,8
峨眉山月亮湾酒店,4.6,113,29.57255,103.457793,2,30
峨眉山一抹茶休闲度假屋,暂无信息,150,29.597962562656,103.38651425046,2,10
峨眉山龙凤酒店,4.5,101,29.576293,103.451902,2,57
峨眉山富嘉源酒店,4.7,110,29.573054074779,103.45717622302,2,暂无信息
峨眉山楠亭轩酒店,4.8,137,29.575821,103.410677,2,暂无信息
峨眉山惠比特商务酒店,4.6,73,29.598210257806002,103.51146416563,2,暂无信息
峨眉山逸闲庄度假酒店,4.8,237,29.58243400000001,103.478608,4,38
峨眉山亨堡酒店,4.6,185,29.59756789809,103.52026472664,3,96
峨眉山钓鱼岛商务酒店,4.0,143,29.608453180876,103.51057399777001,2,28
峨眉山名兴商务酒店,3.1,88,29.597510063486,103.52740579466,暂无信息,20
峨眉山兴福旅饭店,暂无信息,148,29.581501874952,103.41420714795,暂无信息,20
峨眉山叶仕招待所,暂无信息,55,29.599054825,103.50064215799999,1,60
峨眉山写庭客栈,4.1,79,29.570088,103.46012,暂无信息,26
峨眉山市爱e家酒店式家庭公寓(食为天美食街店),暂无信息,453,29.5947,103.486875,暂无信息,1
峨眉山市爱e家酒店式家庭公寓(食为天美食街店),暂无信息,453,29.5947,103.486875,暂无信息,1
峨眉山明月酒店,暂无信息,320,29.582093719338,103.41271740216999,2,27
峨眉山遨湖e家,暂无信息,406,29.578199,103.404934,2,暂无信息
峨眉山遨湖e家,暂无信息,406,29.578199,103.404934,2,32
峨眉山依湖居休闲庄,暂无信息,132,29.581472011042,103.29056370048,暂无信息,20
峨眉山竹隐苔客栈,4.8,456,29.572171,103.279695,2,12
峨眉山御泉湾温泉酒店,4.6,777,29.569419,103.465784,5,325
峨眉山希乐尔酒店,4.8,241,29.609745,103.506497,3,50
峨眉山迎鸿酒店,4.3,99,29.572386,103.455781,2,40
峨眉山迎鸿酒店,4.3,99,29.572386,103.455781,2,40
橡树缘连锁精品主题酒店(峨眉山报国寺店),4.8,121,29.572971259215997,103.45668409976999,2,22
峨眉山顺路园休闲庄,暂无信息,198,29.568668944694,103.44115900666999,暂无信息,暂无信息
峨眉山金和旅馆,暂无信息,122,29.523788,103.465053,暂无信息,20
峨眉山兰亭阁休闲庄,暂无信息,208,29.608511,103.335006,暂无信息,20
峨眉山兰亭阁休闲庄,暂无信息,208,29.608511,103.335006,暂无信息,20
峨眉山秀色饭店,4.8,112,29.57211,103.454879,2,10
峨眉山金豪商务酒店,3.8,151,29.571595529989,103.45332051049999,2,40
峨眉山梵星山舍,4.8,733,29.585999,103.450237,4,21
峨眉山阳光家园,暂无信息,147,29.574366566012,103.28399311191,2,暂无信息
峨眉山阳光家园,暂无信息,147,29.574366566012,103.28399311191,2,12
峨眉山归隐山居创意民宿,暂无信息,116,29.571693631155,103.45249305035999,暂无信息,20
峨眉山雅逸阁休闲庄,暂无信息,135,29.604520225290003,103.33743889351999,暂无信息,20
峨眉山秀清田园山庄,暂无信息,147,29.60222000000001,103.372331,暂无信息,20
峨眉山春花旅饭店,暂无信息,83,29.576964,103.400937,2,11
峨眉山春花旅饭店,暂无信息,83,29.576964,103.400937,2,11
峨眉山秀园宾馆,4.3,152,29.602088333195,103.49933996176,3,93
天下峨眉酒店(峨眉山),暂无信息,90,29.572326546318003,103.45430874665001,2,46
峨眉山秀湖阳光酒店,4.8,205,29.582955494861,103.47801099545,2,52
峨眉山湖畔人家客栈,暂无信息,102,29.577915,103.403541,2,13
峨眉山角落客栈,暂无信息,235,29.521639926753,103.46312761614,2,暂无信息
峨眉山角落客栈,暂无信息,235,29.521639926753,103.46312761614,2,7
峨眉山云霖居休闲山庄,暂无信息,162,29.59631,103.298305,暂无信息,45
峨眉山合圣度假酒店,4.4,271,29.602044,103.372602,3,40
峨眉山巨峰楼大酒店,4.2,306,29.544285848271,103.33978872343,2,24
苏格主题酒店(峨眉山报国寺店),4.6,98,29.572440000000004,103.457534,2,16
乐山爱伊家民宿(佛光西路分店),暂无信息,413,29.625591,103.501686,暂无信息,1
乐山爱伊家民宿(佛光西路分店),暂无信息,413,29.625591,103.501686,暂无信息,1
乐山停留民宿,暂无信息,296,29.584148,103.45124,暂无信息,1
峨眉山双玉斋民宿,暂无信息,367,29.6076619,103.3427729,暂无信息,1
峨眉山双玉斋民宿,暂无信息,367,29.6076619,103.3427729,暂无信息,1
峨眉山禅林雅舍酒店,4.6,273,29.574145017231,103.44932775648,2,30
峨眉山清秀酒家,4.0,115,29.577855,103.403644,2,30
全季酒店(峨眉山店),4.7,364,29.601287,103.504874,3,93
雷洞坪友好饭店,4.8,442,29.544156,103.339518,2,17
峨眉山尚品酒店,4.9,173,29.581723331297002,103.41442392815,2,24
乐山黄怡客栈(大峨村分店),暂无信息,539,29.566748,103.417755,暂无信息,暂无信息
乐山缘分民宿,暂无信息,124,29.584105,103.45121,暂无信息,1
峨眉山典尚民宿,4.5,64,29.588357,103.471762,2,30
峨眉山虎溪园度假休闲山庄,4.3,112,29.569067937578,103.44216960213,2,20
Q加·鸽子花儿精品酒店(峨眉山报国寺店),4.6,59,29.573463286198002,103.45856652087,2,32
峨眉山华莲休闲庄,暂无信息,157,29.598139607114,103.38612808481,暂无信息,20
峨眉山艺雅酒店,暂无信息,198,29.582010528584,103.41456399649,暂无信息,暂无信息
峨眉山仙踪林酒店,暂无信息,257,29.596457790475,103.38448196136,暂无信息,暂无信息
峨眉山湖边度假酒店,4.5,201,29.576070632552,103.45208096584,2,25
峨眉山梓园酒店,4.1,127,29.572202402878,103.45364515305,2,暂无信息
峨眉山云峰假日酒店,4.7,146,29.572142,103.453628,暂无信息,16
峨眉山云峰假日酒店一号店,3.3,105,29.572448552518,103.45421731757,暂无信息,21
峨眉山金茂酒店,4.8,98,29.571288553035,103.4531595389,2,20
峨眉山红叶酒店,4.0,119,29.571417728590998,103.45340666455999,2,50
峨眉山自强饭店,暂无信息,189,29.571773729011003,103.45389524041,2,40
凤凰栖酒店(峨眉山利民店),3.4,156,29.572237234565,103.45442686540001,2,30
