name,url,score,price,lat,lon,star,rooms
峨眉山寅瑞酒店,https://hotels.ctrip.com/hotel/1004505.html?isFull=F,暂无信息,159,29.58735,103.297255,2,30
峨眉山仙鹤楼酒店,https://hotels.ctrip.com/hotel/1073174.html?isFull=F,暂无信息,104,29.573271605863,103.45811445312,2,17
峨眉山家之旅酒店,https://hotels.ctrip.com/hotel/1083872.html?isFull=F,4.7,115,29.572283000000002,103.45518100000001,暂无信息,29
峨眉山峨眉·初见公寓,https://hotels.ctrip.com/hotel/10925842.html?isFull=F,暂无信息,786,29.581622999999997,103.478564,暂无信息,1
峨眉山仙山旅社,https://hotels.ctrip.com/hotel/1093738.html?isFull=F,暂无信息,36,29.596689360626996,103.52809660263,暂无信息,10
峨眉山双泉休闲庄,https://hotels.ctrip.com/hotel/1124822.html?isFull=F,暂无信息,135,29.607446000000003,103.34251,暂无信息,20
峨眉山云海金龙酒店,https://hotels.ctrip.com/hotel/11428944.html?isFull=F,4.9,1156,29.529378,103.342846,3,30
峨眉山悠途之家主题酒店,https://hotels.ctrip.com/hotel/11478117.html?isFull=F,4.8,91,29.57263,103.458347,3,25
峨眉山花园城度假酒店,https://hotels.ctrip.com/hotel/1195421.html?isFull=F,4.7,314,29.579462653555,103.48300584245001,4,暂无信息
维也纳智好酒店(峨眉站水晶广场店),https://hotels.ctrip.com/hotel/1210293.html?isFull=F,4.9,249,29.601874830207,103.52575716008002,4,150
峨眉山养心寨酒店,https://hotels.ctrip.com/hotel/1215845.html?isFull=F,4.6,456,29.590978999999997,103.296686,2,31
峨眉山斯维登度假公寓(峨眉青庐),https://hotels.ctrip.com/hotel/1232309.html?isFull=F,4.7,245,29.576064567032,103.46649345366,4,188
峨眉山神山圣水休闲庄,https://hotels.ctrip.com/hotel/1253083.html?isFull=F,暂无信息,113,29.569315000000003,103.41571,2,28
峨眉山龙州饭店,https://hotels.ctrip.com/hotel/1253417.html?isFull=F,暂无信息,130,29.598267414871998,103.38510574517001,2,8
峨眉山月亮湾酒店,https://hotels.ctrip.com/hotel/1272796.html?isFull=F,4.6,113,29.57255,103.45779300000001,2,30
峨眉山一抹茶休闲度假屋,https://hotels.ctrip.com/hotel/1272836.html?isFull=F,暂无信息,150,29.597962562656,103.38651425046,2,10
峨眉山龙凤酒店,https://hotels.ctrip.com/hotel/1272881.html?isFull=F,4.5,101,29.576293,103.451902,2,57
峨眉山富嘉源酒店,https://hotels.ctrip.com/hotel/1281075.html?isFull=T,4.7,110,29.573054074779,103.45717622302,2,暂无信息
峨眉山楠亭轩酒店,https://hotels.ctrip.com/hotel/1283056.html?isFull=F,4.8,137,29.575821,103.410677,2,暂无信息
峨眉山惠比特商务酒店,https://hotels.ctrip.com/hotel/1283087.html?isFull=F,4.6,73,29.598210257806002,103.51146416563,2,暂无信息
峨眉山逸闲庄度假酒店,https://hotels.ctrip.com/hotel/1289341.html?isFull=F,4.8,237,29.58243400000001,103.478608,4,38
峨眉山亨堡酒店,https://hotels.ctrip.com/hotel/1308365.html?isFull=F,4.6,185,29.59756789809,103.52026472664,3,96
峨眉山钓鱼岛商务酒店,https://hotels.ctrip.com/hotel/1331686.html?isFull=F,4.0,143,29.608453180876,103.51057399777001,2,28
峨眉山名兴商务酒店,https://hotels.ctrip.com/hotel/1344062.html?isFull=F,3.1,88,29.597510063486,103.52740579466,暂无信息,20
峨眉山兴福旅饭店,https://hotels.ctrip.com/hotel/1368800.html?isFull=F,暂无信息,148,29.581501874952,103.41420714795,暂无信息,20
峨眉山叶仕招待所,https://hotels.ctrip.com/hotel/13697665.html?isFull=F,暂无信息,55,29.599054825,103.50064215799999,1,60
峨眉山写庭客栈,https://hotels.ctrip.com/hotel/1398082.html?isFull=F,4.1,79,29.570088000000002,103.46011999999999,暂无信息,26
