name,lat,lon,star
峨眉山花园城度假酒店,29.579462653555,103.48300584245,4
峨眉山幸福树酒店,29.573045377001,103.45781885447,3
峨眉山绕佛阁度假酒店,29.585869,103.448516,5
峨眉山御泉湾温泉酒店,29.569419,103.465784,5
峨眉山饭店(灵秀温泉),29.57112275,103.4579336,4
丽呈别院·峨眉禅泉,29.596283,103.504488,4
峨眉山大酒店,29.57307889,103.4533153,4
洪雅禅驿·半山院子,29.566167,103.263419,3
峨眉山浮生宿迹·民宿,29.585904,103.450024,4
峨眉山拜愚庭云涧温泉艺术酒店,29.575505,103.451862,3
峨眉山蓝光己庄·悟啦啦主题亲子酒店,29.579401,103.482538,5
峨眉山斯维登度假公寓(峨眉青庐),29.576064567032,103.46649345366,4
洪雅远山云驿民宿,29.592342,103.258237,3
峨眉山印主题山与湖酒店,29.583594,103.464011,4
峨眉山温泉饭店,29.57114010956,103.45800274977,5
峨眉山御泉湾·倚泉居酒店,29.568516,103.464921,4
峨眉山欣隆门精品酒店,29.544693,103.339969,3
城市便捷酒店(峨眉山店),29.572298,103.456246,2
峨眉山荷堂揽月温泉民宿,29.585112,103.412183,4
拈花溪峨眉山精品温泉民宿,29.574283,103.460919,3
峨眉山蓝光己庄酒店,29.578579324288,103.48219813365,5
峨眉山璞澜丽呈酒店,29.566319,103.464211,4
峨眉山漫雅温泉度假酒店,29.569207,103.466538,4
峨眉山逸闲庄度假酒店,29.582434,103.478608,4
峨眉山瑜伽温泉酒店,29.572987,103.453384,4
峨眉山智选假日酒店,29.587262,103.449433,4
峨眉山勐巴拉酒店,29.572282871711,103.4580019142,3
峨眉山隐舍精品酒店,29.582339098311,103.4783571932,3
峨眉山恒迈酒店,29.59963,103.5208,5
维也纳智好酒店(峨眉站水晶广场店),29.601874830207,103.52575716008,4
Q加·花涧凤缘酒店(峨眉山报国寺店),29.572813809821,103.45810378004,2
雷洞坪友好饭店,29.544156,103.339518,2
峨眉山悦舍精品酒店,29.579208,103.469579,4
福缘·缘起山居(峨眉山五显岗店),29.581786,103.414226,2
峨眉山莫奈艺术酒店,29.583522,103.479404,2
Q加·鸽子花儿精品酒店(峨眉山报国寺店),29.573463286198,103.45856652087,2
峨眉山巢壳假日酒店,29.579607,103.479791,2
峨眉山悠途之家主题酒店,29.57263,103.458347,3
峨眉山澜柏酒店,29.597127231259,103.5020134181,2
峨眉山木子酒店,29.604508,103.514086,3
峨眉山梵星山舍,29.585999,103.450237,4
骏怡酒店(峨眉山北门桥店),29.611391,103.492165,2
峨眉山金瑞花园酒店,29.609839711505,103.4885017859,3
峨眉山灵境别院,29.576356,103.452032,2
峨眉山清音谷度假庄园,29.581694,103.417747,2
峨眉山黄湾小镇两间民宿,29.584185,103.450857,2
雅鑫度假酒店(峨眉山七里坪店),29.565733,103.262143,2
峨眉山IN·栖度假公寓,29.585847,103.450373,2
峨眉山千寻山居客栈,29.586559,103.447865,2
峨眉山可可木酒店,29.572471,103.457898,2
峨眉山安境·栖麓轻奢精品客栈,29.587263,103.450236,4
TOWO上品酒店(峨眉山报国寺店),29.573064,103.45798,3
峨眉山醉木溪精品民宿,29.590209,103.442322,2
峨眉山雷洞坪金川大酒店,29.545307,103.340058,2
峨眉山云孚里·云宿云水居,29.586269,103.448376,3
银座隽兰民宿(峨眉山景区店),29.585917,103.443858,3
峨眉山观景温泉汤屋,29.573906,103.453284,5
峨眉山仙味庄主题酒店,29.544222,103.339643,3
宜必思酒店(峨眉山高铁站店),29.57979,103.470044,3
七里坪华生温泉酒店,29.565217,103.262814,4
峨眉山泰迪熊精品酒店,29.57265216045,103.45740610389,3
欢墅度假别墅(峨眉山与湖温泉汤屋店),29.583412547576,103.46427296383,4
峨眉山伴山之宿精品民宿,29.585024,103.455993,3
海韵·幽居(峨眉山大佛禅院店),29.597122,103.503552,2
峨眉山福家酒店,29.58190606604,103.41286247872,2
弄月峨眉山居民宿,29.57443685816,103.45003653133,3
久栖·峨眉山侣途驿栈,29.579438,103.406101,3
峨眉山加瑞森智能酒店,29.600503,103.526728,3
峨眉山苹果居度假酒店,29.569615,103.466475,4
峨眉山清溪别院民宿,29.57904,103.402517,2
峨眉山康嘉逸居·峨嵋园酒店,29.580267,103.470536,3
峨眉山寂然精品民宿,29.576182,103.451389,2
峨眉山丽呈璞寓酒店,29.566344,103.464899,4
峨眉山等风来民宿,29.587279,103.449313,2
峨眉山清音阁雷家大院养生度假酒店,29.577544577098,103.40073744711,2
峨眉山宾馆,29.60014,103.486703,3
五悦·悦心酒店(峨眉山黄湾小镇店),29.583772,103.452088,2
峨眉山珀荟酒店,29.598745,103.52742,
峨眉山纯院·良宿酒店,29.583638,103.479868,4
花筑·峨眉山四季印象酒店,29.572588308923,103.45554483817,2
橡树缘连锁精品主题酒店(峨眉山报国寺店),29.572971259216,103.45668409977,2
峨眉山楠亭轩酒店,29.575821,103.410677,2
峨眉山3077客栈,29.571623270512,103.45544334118,2
峨眉山花家过客栈,29.572675,103.458551,2
峨眉山怡游民宿,29.588367,103.442375,2
峨眉山山居日记民宿,29.582189,103.446221,2
峨眉山凯悦商务酒店,29.606997,103.490264,2
峨眉山途窝假日庄园(观景楼),29.577207,103.412364,3
峨眉山森呼吸民宿,29.586261,103.445172,2
峨眉山遇见你民宿,29.585296,103.456511,2
峨眉山浩南度假精品民宿,29.586206,103.447641,3
峨眉山秀园宾馆,29.602088333195,103.49933996176,3
峨眉山神水大酒店,29.599513202999,103.49962224866,2
峨眉山普思假日酒店,29.572843336714,103.45847174542,2
峨眉山芷筑温泉度假酒店,29.578895,103.476375,5
峨眉山归宿客栈,29.584086,103.452451,2
峨眉山水喜客栈,29.587346691482,103.29681019577,2
峨眉山卷舒堂度假酒店,29.569016,103.466208,4
峨眉山秀湖阳光酒店,29.582955494861,103.47801099545,2
峨眉山山神酒店,29.572989142963,103.45784596842,3
维也纳酒店（峨眉山高铁站店）,29.579705,103.470378,3
峨眉山逸鑫商务酒店,29.603298,103.49858,2
峨眉山恒邦艾美度假酒店,29.575212,103.463796,5
峨眉山上座酒店,29.576179,103.45164,2
峨眉山雷洞坪留香阁饭店,29.543583,103.339684,2
峨眉山金顶大酒店(悦霞楼),29.52735,103.343513,3
峨眉山养心寨酒店,29.590979,103.296686,2
盛世樊花艺术酒店(峨眉山阿富尔连锁店),29.601071,103.510011,2
峨眉山兴鑫商务酒店,29.628398,103.501126,2
峨眉山爱米酒店,29.585817,103.445851,2
峨眉山月亮湾酒店,29.57255,103.457793,2
峨眉山大清帝国民宅,29.63202,103.402561,2
峨眉山尚品酒店,29.581723331297,103.41442392815,2
峨眉山乐为客轻居酒店,29.573240297598,103.45836113763,2
峨眉山浅茶居客栈,29.589998,103.443598,2
峨眉山金顶大酒店,29.527108183041,103.34462453667,3
峨眉山名山大酒店(泰式风情楼),29.544553,103.34068,3
峨眉山浥栈民宿,29.585118,103.454517,2
峨眉山一方民宿,29.577084,103.528891,2
峨眉山金顶山庄,29.526664300303,103.34279342429,3
峨眉山方聚设计师民宿,29.586997,103.449221,4
峨眉山友宜大酒店,29.602841110424,103.49513837672,
峨眉山云海金龙酒店,29.529378,103.342846,3
峨眉山墨庄·不壹酒店,29.626654,103.498536,4
峨眉山秀色饭店,29.57211,103.454879,2
峨眉山零公里紫仙居休闲酒店,29.587248,103.297223,2
峨眉山般若·莲客栈,29.572745,103.457705,2
峨眉山原舍酒店,29.571689,103.454824,2
峨眉山缘栖智家酒店,29.585601,103.445819,2
峨眉山七里坪怡然居,29.587148,103.298678,
峨眉山鱼跃家民宿,29.589876,103.443855,2
