基本信息,现价,原价,时间,里程,年份,排量
大众 途观 2012款 1.8TSI 自动两驱菁英版,9.20万,27.66万,2012年,8.8万公里,2012款,1.8T
大众 朗逸 2013款 改款 1.4TSI DSG舒适版,5.40万,16.05万,2013年,8.0万公里,2013款,1.4T
日产 骊威 2015款 1.6XE CVT舒适版,6.20万,10.40万,2017年,4.5万公里,2015款,1.6L
现代ix35 2010款 2.0L 自动两驱精英版GLS,6.18万,21.25万,2012年,12.5万公里,2010款,2.0L
斯柯达 明锐 2009款 2.0L 手动逸仕版,2.03万,14.97万,2009年,9.3万公里,2009款,2.0L
日产 逍客 2010款 20X雷 CVT 2WD,5.20万,20.49万,2010年,10.7万公里,2010款,2.0L
奔驰S级 2010款 S 300 L 商务型(进口),25.80万,100.95万,2011年,14.7万公里,2010款,3.0L
别克 君威 2012款 2.0L 舒适版,5.48万,20.18万,2012年,9.1万公里,2012款,2.0L
哈弗H1 2016款 蓝标 1.5L AMT尊贵型,3.71万,9.00万,2016年,10.1万公里,2016款,1.5L
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,7.68万,9.31万,2019年,1.5万公里,2016款,1.5L
本田 哥瑞 2016款 1.5L CVT经典版,6.80万,9.75万,2017年,3.9万公里,2016款,1.5L
福特 致胜 2013款 2.3L 时尚型,6.28万,19.52万,2016年,10.1万公里,2013款,2.3L
大众 朗逸 2011款 1.4TSI DSG品轩版,4.35万,17.13万,2012年,11.7万公里,2011款,1.4T
日产 天籁 2013款 2.0L XL舒适版,11.00万,20.17万,2015年,4.3万公里,2013款,2.0L
奔驰C级 2016款 C 180 L,21.60万,35.36万,2016年,6.4万公里,2016款,1.6T
奔驰B级 2020款 B 200 动感型,19.80万,28.20万,2019年,1.4万公里,2020款,1.3T
日产 轩逸 2018款 经典 1.6XE+ CVT领先版,7.36万,12.24万,2018年,4.8万公里,2018款,1.6L
奥迪A5 2010款 3.2 coupe quattro(进口),14.00万,72.73万,2011年,6.0万公里,2010款,3.2L
宝马5系 2014款 525Li 领先型,25.10万,50.65万,2015年,12.8万公里,2014款,2.0T
奔驰A级 2019款 A 200 L 运动轿车,21.80万,28.74万,2019年,2.1万公里,2019款,1.3T
奔驰CLA级 2017款 CLA 220 4MATIC(进口),23.90万,34.63万,2017年,3.5万公里,2017款,2.0T
现代ix25 2015款 1.6L 自动两驱尊贵型DLX,8.10万,17.02万,2015年,3.6万公里,2015款,1.6L
大众POLO 2012款 1.6L Cross POLO AT,5.40万,13.67万,2012年,4.5万公里,2012款,1.6L
日产 逍客 2015款 2.0XL 酷火 CVT 2WD,7.50万,18.11万,2014年,8.1万公里,2015款,2.0L
奔驰GLA级 2016款 GLA 200 时尚型,18.00万,31.46万,2017年,1.2万公里,2016款,1.6T
宝马3系 2016款 320Li 进取型,20.50万,35.36万,2016年,6.4万公里,2016款,2.0T
别克 君威 2015款 2.0L 领先时尚型,8.08万,19.42万,2016年,8.0万公里,2015款,2.0L
大众 高尔夫·嘉旅 2016款 230TSI 自动进取型,10.38万,18.12万,2017年,4.1万公里,2016款,1.4T
宝马5系 2014款 520Li 典雅型,24.38万,47.28万,2016年,16.6万公里,2014款,2.0T
宝马X1 2019款 xDrive20Li 尊享型,23.30万,36.88万,2018年,4.1万公里,2019款,2.0T
大众POLO 2014款 1.6L 自动舒适版,5.80万,11.28万,2015年,3.7万公里,2014款,1.6L
福特 福睿斯 2017款 1.5L 自动舒适型,6.30万,11.70万,2017年,6.2万公里,2017款,1.5L
别克 君威 2012款 2.0L 舒适版,5.80万,20.18万,2012年,9.8万公里,2012款,2.0L
纳智捷 优6 SUV 2014款 1.8T 智尊型,4.50万,18.11万,2014年,7.5万公里,2014款,1.8T
日产 西玛 2016款 2.5L XL 豪华版,16.80万,27.12万,2018年,4.8万公里,2016款,2.5L
奥迪Q3 2013款 35 TFSI quattro 豪华型,12.48万,43.07万,2013年,16.0万公里,2013款,2.0T
大众 夏朗 2012款 2.0TSI 舒适型 欧IV(进口),11.30万,39.55万,2013年,14.7万公里,2012款,2.0T
马自达 睿翼 2012款 2.0L 自动精英版,6.68万,17.89万,2013年,15.2万公里,2012款,2.0L
丰田 卡罗拉 2018款 1.2T S-CVT GL-i智辉版,10.58万,14.63万,2018年,4.9万公里,2018款,1.2T
丰田 锐志 2013款 2.5V 尚锐导航版,14.50万,27.33万,2013年,10.5万公里,2013款,2.5L
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,6.50万,14.85万,2015年,4.4万公里,2015款,1.5T
宝马5系 2018款 525i M运动套装(进口),37.60万,46.66万,2018年,2.6万公里,2018款,2.0T
奥迪Q5 2011款 2.0TFSI 进取型,12.00万,41.23万,2011年,12.6万公里,2011款,2.0T
别克GL8 2014款 2.4L CT豪华商务舒适版,16.60万,31.47万,2016年,13.8万公里,2014款,2.4L
宝马3系 2014款 320i 时尚型,16.88万,37.23万,2014年,8.9万公里,2014款,2.0T
奥迪A4L 2013款 35 TFSI 自动标准型,12.68万,33.63万,2012年,15.3万公里,2013款,2.0T
现代 全新胜达 2015款 2.4L 自动两驱智能型 5座,10.60万,26.03万,2015年,6.0万公里,2015款,2.4L
宝马3系 2014款 320Li 时尚型,17.08万,38.95万,2014年,4.2万公里,2014款,2.0T
